,ground_nof,bstory_cnt,bottom_area,season_se_nm,fire_ocrn_hour,daywk,sigungu_nm,spt_safe_cnter_dist,fclty_place_lclas_nm,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,time_unit_tmprt,time_unit_ws,time_unit_humidity,time_unit_rainqty,time_unit_msnf,totar
1,4.0,1.0,275.0,겨울,1.0,토요일,강동구,1.2,판매/업무시설,N,Y,N,N,-9.2,1.8,42.0,0.0,0.0,1214.0
2,3.0,1.0,234.37,겨울,5.0,토요일,노원구,2.2,판매/업무시설,N,N,N,N,-9.7,0.8,51.0,0.0,0.0,805.11
3,2.0,1.0,0.0,겨울,7.0,토요일,종로구,2.3,주거,N,N,N,N,-10.1,1.9,55.0,0.0,0.0,307.64
4,17.0,5.0,586.51,겨울,7.0,토요일,강남구,1.8,주거,N,Y,N,N,-10.1,1.9,55.0,0.0,0.0,12986.17
6,4.0,1.0,80.19,겨울,9.0,토요일,중랑구,2.1,판매/업무시설,N,N,N,N,-9.1,2.1,56.0,0.0,0.0,382.32
7,14.0,2.0,128.92,겨울,10.0,토요일,은평구,1.4,의료/복지시설,N,N,N,N,-6.8,2.3,42.0,0.0,0.0,2044.22
8,5.0,0.0,54.4,겨울,10.0,토요일,광진구,2.3,주거,N,N,N,N,-6.8,2.3,42.0,0.0,0.0,747.7
9,15.0,1.0,16066.9,겨울,10.0,토요일,양천구,1.5,주거,N,N,N,N,-6.8,2.3,42.0,0.0,0.0,171516.22
10,7.0,0.0,248.24,겨울,10.0,토요일,강서구,0.6,주거,N,Y,N,N,-6.8,2.3,42.0,0.0,0.0,876.75
11,4.0,1.0,76.45,겨울,12.0,토요일,강북구,1.4,주거,N,N,N,N,-2.3,1.2,34.0,0.0,0.0,391.31
13,4.0,1.0,108.44,겨울,15.0,토요일,성북구,1.5,주거,N,Y,Y,N,1.9,1.7,35.0,0.0,0.0,494.56
14,2.0,0.0,47.0,겨울,15.0,토요일,용산구,1.0,주거,N,N,N,N,1.9,1.7,35.0,0.0,0.0,82.0
15,5.0,1.0,98.13,겨울,20.0,토요일,동대문구,0.9,주거,N,N,N,N,-1.6,0.9,47.0,0.0,0.0,529.29
16,1.0,0.0,16.5,겨울,20.0,토요일,마포구,4.5,기타서비스,N,N,N,N,-1.6,0.9,47.0,0.0,0.0,16.5
18,5.0,0.0,135.06,겨울,1.0,일요일,강남구,2.3,주거,N,N,N,N,-2.9,2.1,57.0,0.0,0.0,449.97
19,4.0,1.0,98.14,겨울,6.0,일요일,성동구,1.2,주거,N,N,N,N,-1.9,2.5,66.0,0.0,0.1,309.38
22,2.0,1.0,85.2,겨울,10.0,일요일,동작구,0.7,주거,N,N,N,N,-0.8,0.7,81.0,0.0,0.3,240.23
23,17.0,5.0,885.0,겨울,11.0,일요일,송파구,1.8,주거,N,N,N,N,0.0,3.3,80.0,0.0,0.2,16858.0
24,15.0,1.0,568.68,겨울,15.0,일요일,동작구,3.0,주거,N,N,N,N,2.5,3.3,46.0,0.0,0.0,8742.72
25,3.0,0.0,84.92,겨울,19.0,일요일,중구,0.6,생활서비스,N,N,N,N,-1.6,2.0,41.0,0.0,0.0,241.56
27,12.0,5.0,2097.63,겨울,22.0,일요일,중구,0.5,판매/업무시설,N,N,N,N,-3.8,2.1,49.0,0.0,0.0,29989.66
28,15.0,1.0,15337.8,겨울,22.0,일요일,성동구,2.0,주거,N,N,N,N,-3.8,2.1,49.0,0.0,0.0,15337.8
29,1.0,0.0,33.6,겨울,3.0,월요일,영등포구,0.6,생활서비스,N,N,N,N,-7.0,1.6,59.0,0.0,0.0,33.6
30,2.0,1.0,207.67,겨울,7.0,월요일,은평구,2.0,판매/업무시설,N,N,N,N,-7.7,2.0,54.0,0.0,0.0,309.96
31,15.0,1.0,812.58,겨울,8.0,월요일,도봉구,1.6,주거,N,Y,N,N,-7.6,1.6,55.0,0.0,0.0,10712.02
32,1.0,1.0,33.0,겨울,10.0,월요일,광진구,1.0,판매/업무시설,N,N,N,N,-4.0,1.2,55.0,0.0,0.0,191.08
33,10.0,2.0,25.0,겨울,12.0,월요일,송파구,3.4,판매/업무시설,N,Y,N,N,0.9,2.1,36.0,0.0,0.0,3457.14
34,4.0,1.0,142.13,겨울,14.0,월요일,은평구,2.5,생활서비스,N,N,N,N,2.0,2.4,43.0,0.0,0.0,607.84
35,4.0,1.0,119.52,겨울,16.0,월요일,관악구,3.3,주거,N,N,N,N,2.3,2.4,49.0,0.0,0.0,586.02
36,6.0,0.0,150.79,겨울,17.0,월요일,관악구,1.0,주거,N,Y,N,N,1.6,3.0,56.0,0.0,0.0,543.22
37,2.0,1.0,0.0,겨울,18.0,월요일,종로구,2.5,주거,N,N,N,N,1.3,1.9,58.0,0.0,0.0,149.18
39,4.0,0.0,96.0,겨울,20.0,월요일,송파구,2.5,주거,N,N,N,N,1.2,1.8,68.0,0.0,0.0,312.0
40,3.0,1.0,72.81,겨울,21.0,월요일,동대문구,3.0,주거,N,N,N,N,1.1,2.8,74.0,0.0,0.0,243.53
44,5.0,1.0,106.58,겨울,8.0,화요일,서초구,1.8,판매/업무시설,N,N,N,N,-4.6,1.9,75.0,0.0,0.0,634.65
45,2.0,1.0,59.88,겨울,9.0,화요일,강북구,1.8,주거,N,N,N,N,-4.3,3.8,73.0,0.0,0.0,185.04
46,3.0,0.0,31.64,겨울,10.0,화요일,서대문구,1.5,생활서비스,N,N,N,N,-3.5,2.8,66.0,0.0,0.0,94.92
47,4.0,1.0,132.91,겨울,12.0,화요일,강남구,4.9,생활서비스,N,N,N,N,-0.6,2.5,45.0,0.0,0.0,392.55
48,31.0,0.0,690.63,겨울,13.0,화요일,강남구,2.0,주거,N,N,N,N,-0.5,2.9,43.0,0.0,0.0,14429.6
50,4.0,1.0,89.88,겨울,16.0,화요일,마포구,1.2,기타서비스,N,N,N,N,0.7,3.0,29.0,0.0,0.0,471.36
52,2.0,1.0,55.89,겨울,17.0,화요일,도봉구,0.7,주거,N,N,N,N,-0.4,2.8,29.0,0.0,0.0,167.64
53,2.0,0.0,274.4,겨울,21.0,화요일,중랑구,1.3,생활서비스,N,N,N,N,-3.5,0.8,37.0,0.0,0.0,548.8
56,8.0,1.0,335.03,겨울,4.0,수요일,강서구,1.3,생활서비스,N,Y,N,N,-7.2,1.9,52.0,0.0,0.0,2224.84
57,2.0,1.0,103.65,겨울,8.0,수요일,광진구,2.0,산업시설,N,N,N,N,-7.5,2.6,58.0,0.0,0.0,291.45
58,2.0,1.0,39.08,겨울,9.0,수요일,노원구,1.2,주거,N,N,N,N,-6.4,0.9,56.0,0.0,0.0,122.22
59,17.0,5.0,2290.2,겨울,10.0,수요일,서초구,2.0,기타서비스,N,N,N,N,-4.4,1.3,50.0,0.0,0.0,26459.94
61,2.0,1.0,30.0,겨울,11.0,수요일,광진구,0.7,주거,N,N,N,N,-2.4,1.5,46.0,0.0,0.0,315.69
62,2.0,1.0,296.34,겨울,13.0,수요일,양천구,1.5,주거,N,N,N,N,0.5,2.0,37.0,0.0,0.0,1443.59
63,7.0,1.0,264.0,겨울,15.0,수요일,관악구,0.2,생활서비스,N,Y,N,N,1.7,1.5,36.0,0.0,0.0,1457.6
64,18.0,5.0,1663.26,겨울,18.0,수요일,종로구,1.2,판매/업무시설,N,Y,N,N,0.7,2.0,42.0,0.0,0.0,34747.2
